Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,all_symptoms
Deviated Septum,nosebleeds,fever,headache,pus_discharge,red_tonsils,redness_ear_canal,postnasal_drip,loss_of_smell,"['nosebleeds', 'fever', 'headache', 'pus_discharge', 'red_tonsils', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,vertigo,fever,nasal_irritation,dry_cough,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['vertigo', 'fever', 'nasal_irritation', 'dry_cough', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Laryngitis,hoarseness,recurrent_sinus_infections,facial_pain,swollen_lymph_nodes,hearing_difficulty,vomiting,ear_tugging,loss_of_smell,"['hoarseness', 'recurrent_sinus_infections', 'facial_pain', 'swollen_lymph_nodes', 'hearing_difficulty', 'vomiting', 'ear_tugging', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,loss_of_voice,hearing_loss,pus_discharge,hearing_difficulty,loss_of_balance,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'hearing_loss', 'pus_discharge', 'hearing_difficulty', 'loss_of_balance', 'postnasal_drip', 'loss_of_smell']"
Laryngitis,hoarseness,runny_nose,facial_pain,swollen_lymph_nodes,red_tonsils,postnasal_drip,ear_tugging,loss_of_smell,"['hoarseness', 'runny_nose', 'facial_pain', 'swollen_lymph_nodes', 'red_tonsils', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Otitis Externa,nasal_obstruction,loss_of_voice,swelling_ear_canal,swollen_lymph_nodes,snoring,loss_of_balance,ear_tugging,loss_of_smell,"['nasal_obstruction', 'loss_of_voice', 'swelling_ear_canal', 'swollen_lymph_nodes', 'snoring', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,vertigo,fever,nasal_irritation,dry_cough,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['vertigo', 'fever', 'nasal_irritation', 'dry_cough', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,vertigo,fever,nasal_irritation,dry_cough,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['vertigo', 'fever', 'nasal_irritation', 'dry_cough', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,sore_throat,difficulty_swallowing,nasal_irritation,ear_fullness,nasal_congestion,vomiting,postnasal_drip,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'nasal_irritation', 'ear_fullness', 'nasal_congestion', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Otitis Media,hoarseness,recurrent_sinus_infections,headache,thick_nasal_discharge,hearing_difficulty,vomiting,itchy_throat,loss_of_smell,"['hoarseness', 'recurrent_sinus_infections', 'headache', 'thick_nasal_discharge', 'hearing_difficulty', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Epistaxis,ringing_in_ears,tinnitus,hearing_difficulty,blood_in_nasal_discharge,nausea,fatigue,loss_of_balance,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'hearing_difficulty', 'blood_in_nasal_discharge', 'nausea', 'fatigue', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,sneezing,loss_of_voice,nasal_irritation,watery_eyes,red_tonsils,white_patches_throat,itchy_throat,loss_of_smell,"['sneezing', 'loss_of_voice', 'nasal_irritation', 'watery_eyes', 'red_tonsils', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Meniere’s Disease,nasal_congestion,difficulty_swallowing,sore_throat,blood_in_nasal_discharge,nausea,postnasal_drip,loss_of_balance,loss_of_smell,"['nasal_congestion', 'difficulty_swallowing', 'sore_throat', 'blood_in_nasal_discharge', 'nausea', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,sore_throat,tinnitus,swelling_ear_canal,facial_pain,throat_irritation,fatigue,headache,loss_of_smell,"['sore_throat', 'tinnitus', 'swelling_ear_canal', 'facial_pain', 'throat_irritation', 'fatigue', 'headache', 'loss_of_smell']"
Sinusitis,vertigo,buzzing_in_ears,sore_throat,disturbed_sleep,nasal_congestion,fatigue,headache,loss_of_smell,"['vertigo', 'buzzing_in_ears', 'sore_throat', 'disturbed_sleep', 'nasal_congestion', 'fatigue', 'headache', 'loss_of_smell']"
Deviated Septum,ear_itching,recurrent_sinus_infections,nasal_irritation,disturbed_sleep,irritability,loss_of_balance,ear_tugging,loss_of_smell,"['ear_itching', 'recurrent_sinus_infections', 'nasal_irritation', 'disturbed_sleep', 'irritability', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Otitis Externa,ear_itching,fever,hearing_loss,facial_pain,fever,fatigue,ear_tugging,loss_of_smell,"['ear_itching', 'fever', 'hearing_loss', 'facial_pain', 'fever', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Laryngitis,sore_throat,loss_of_voice,fever,pus_discharge,nasal_congestion,loss_of_balance,postnasal_drip,loss_of_smell,"['sore_throat', 'loss_of_voice', 'fever', 'pus_discharge', 'nasal_congestion', 'loss_of_balance', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,ringing_in_ears,loss_of_voice,facial_pain,disturbed_sleep,fever,white_patches_throat,ear_tugging,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'facial_pain', 'disturbed_sleep', 'fever', 'white_patches_throat', 'ear_tugging', 'loss_of_smell']"
Otitis Media,sore_throat,headache,hearing_difficulty,pus_discharge,red_tonsils,vomiting,postnasal_drip,loss_of_smell,"['sore_throat', 'headache', 'hearing_difficulty', 'pus_discharge', 'red_tonsils', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,nosebleeds,crusting_in_nose,fever,watery_eyes,nasal_congestion,fatigue,postnasal_drip,loss_of_smell,"['nosebleeds', 'crusting_in_nose', 'fever', 'watery_eyes', 'nasal_congestion', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Sinusitis,vertigo,loss_of_voice,headache,thick_nasal_discharge,nausea,white_patches_throat,itchy_throat,loss_of_smell,"['vertigo', 'loss_of_voice', 'headache', 'thick_nasal_discharge', 'nausea', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,ear_pain,buzzing_in_ears,headache,blood_in_nasal_discharge,irritability,loss_of_balance,headache,loss_of_smell,"['ear_pain', 'buzzing_in_ears', 'headache', 'blood_in_nasal_discharge', 'irritability', 'loss_of_balance', 'headache', 'loss_of_smell']"
Deviated Septum,sore_throat,ear_pain,nasal_irritation,facial_pain,irritability,white_patches_throat,postnasal_drip,loss_of_smell,"['sore_throat', 'ear_pain', 'nasal_irritation', 'facial_pain', 'irritability', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Epistaxis,ear_itching,recurrent_sinus_infections,hearing_loss,swollen_lymph_nodes,red_tonsils,white_patches_throat,postnasal_drip,loss_of_smell,"['ear_itching', 'recurrent_sinus_infections', 'hearing_loss', 'swollen_lymph_nodes', 'red_tonsils', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Otitis Externa,sneezing,tinnitus,hearing_loss,ear_fullness,red_tonsils,vomiting,itchy_throat,loss_of_smell,"['sneezing', 'tinnitus', 'hearing_loss', 'ear_fullness', 'red_tonsils', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Tinnitus,sneezing,crusting_in_nose,facial_pain,disturbed_sleep,nasal_congestion,fatigue,itchy_throat,loss_of_smell,"['sneezing', 'crusting_in_nose', 'facial_pain', 'disturbed_sleep', 'nasal_congestion', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Otitis Media,hoarseness,fever,facial_pain,pus_discharge,hearing_difficulty,redness_ear_canal,headache,loss_of_smell,"['hoarseness', 'fever', 'facial_pain', 'pus_discharge', 'hearing_difficulty', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Sinusitis,vertigo,loss_of_voice,fever,fluid_discharge,nausea,redness_ear_canal,ear_tugging,loss_of_smell,"['vertigo', 'loss_of_voice', 'fever', 'fluid_discharge', 'nausea', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Otitis Media,sore_throat,fever,swelling_ear_canal,fluid_discharge,fever,breathing_difficulty,itchy_throat,loss_of_smell,"['sore_throat', 'fever', 'swelling_ear_canal', 'fluid_discharge', 'fever', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Meniere’s Disease,ear_pain,tinnitus,hearing_difficulty,ear_fullness,throat_irritation,postnasal_drip,loss_of_balance,loss_of_smell,"['ear_pain', 'tinnitus', 'hearing_difficulty', 'ear_fullness', 'throat_irritation', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,sore_throat,crusting_in_nose,swelling_ear_canal,watery_eyes,snoring,breathing_difficulty,loss_of_balance,loss_of_smell,"['sore_throat', 'crusting_in_nose', 'swelling_ear_canal', 'watery_eyes', 'snoring', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,sneezing,loss_of_voice,hearing_loss,ear_fullness,snoring,fatigue,itchy_throat,loss_of_smell,"['sneezing', 'loss_of_voice', 'hearing_loss', 'ear_fullness', 'snoring', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Otitis Externa,nosebleeds,ear_pain,headache,dry_cough,nasal_congestion,postnasal_drip,loss_of_balance,loss_of_smell,"['nosebleeds', 'ear_pain', 'headache', 'dry_cough', 'nasal_congestion', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Allergic Rhinitis,vertigo,loss_of_voice,facial_pain,fluid_discharge,throat_irritation,postnasal_drip,ear_tugging,loss_of_smell,"['vertigo', 'loss_of_voice', 'facial_pain', 'fluid_discharge', 'throat_irritation', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Laryngitis,sore_throat,recurrent_sinus_infections,hearing_loss,thick_nasal_discharge,fever,fatigue,ear_tugging,loss_of_smell,"['sore_throat', 'recurrent_sinus_infections', 'hearing_loss', 'thick_nasal_discharge', 'fever', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Tonsillitis,nasal_congestion,fever,hearing_loss,disturbed_sleep,nausea,white_patches_throat,postnasal_drip,loss_of_smell,"['nasal_congestion', 'fever', 'hearing_loss', 'disturbed_sleep', 'nausea', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,sore_throat,tinnitus,swelling_ear_canal,blood_in_nasal_discharge,irritability,loss_of_balance,headache,loss_of_smell,"['sore_throat', 'tinnitus', 'swelling_ear_canal', 'blood_in_nasal_discharge', 'irritability', 'loss_of_balance', 'headache', 'loss_of_smell']"
Epistaxis,nosebleeds,recurrent_sinus_infections,fever,facial_pain,irritability,postnasal_drip,loss_of_balance,loss_of_smell,"['nosebleeds', 'recurrent_sinus_infections', 'fever', 'facial_pain', 'irritability', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Tonsillitis,ear_itching,buzzing_in_ears,nasal_irritation,swollen_lymph_nodes,irritability,breathing_difficulty,headache,loss_of_smell,"['ear_itching', 'buzzing_in_ears', 'nasal_irritation', 'swollen_lymph_nodes', 'irritability', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Epistaxis,ringing_in_ears,tinnitus,hearing_difficulty,blood_in_nasal_discharge,nausea,fatigue,loss_of_balance,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'hearing_difficulty', 'blood_in_nasal_discharge', 'nausea', 'fatigue', 'loss_of_balance', 'loss_of_smell']"
Laryngitis,ear_itching,ear_pain,itchy_nose,watery_eyes,irritability,loss_of_balance,ear_tugging,loss_of_smell,"['ear_itching', 'ear_pain', 'itchy_nose', 'watery_eyes', 'irritability', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Epistaxis,nosebleeds,crusting_in_nose,facial_pain,swollen_lymph_nodes,irritability,redness_ear_canal,postnasal_drip,loss_of_smell,"['nosebleeds', 'crusting_in_nose', 'facial_pain', 'swollen_lymph_nodes', 'irritability', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Epistaxis,nosebleeds,runny_nose,hearing_loss,fluid_discharge,throat_irritation,breathing_difficulty,loss_of_balance,loss_of_smell,"['nosebleeds', 'runny_nose', 'hearing_loss', 'fluid_discharge', 'throat_irritation', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,ringing_in_ears,tinnitus,hearing_loss,watery_eyes,nausea,postnasal_drip,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'hearing_loss', 'watery_eyes', 'nausea', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Otitis Externa,ringing_in_ears,crusting_in_nose,itchy_nose,watery_eyes,red_tonsils,redness_ear_canal,itchy_throat,loss_of_smell,"['ringing_in_ears', 'crusting_in_nose', 'itchy_nose', 'watery_eyes', 'red_tonsils', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Epistaxis,ear_pain,headache,headache,thick_nasal_discharge,nausea,breathing_difficulty,loss_of_balance,loss_of_smell,"['ear_pain', 'headache', 'headache', 'thick_nasal_discharge', 'nausea', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Laryngitis,nasal_obstruction,tinnitus,fever,watery_eyes,snoring,white_patches_throat,ear_tugging,loss_of_smell,"['nasal_obstruction', 'tinnitus', 'fever', 'watery_eyes', 'snoring', 'white_patches_throat', 'ear_tugging', 'loss_of_smell']"
Otitis Externa,nasal_obstruction,runny_nose,facial_pain,swollen_lymph_nodes,irritability,redness_ear_canal,postnasal_drip,loss_of_smell,"['nasal_obstruction', 'runny_nose', 'facial_pain', 'swollen_lymph_nodes', 'irritability', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,ear_pain,difficulty_swallowing,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,headache,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Epistaxis,hoarseness,ear_pain,facial_pain,dry_cough,snoring,white_patches_throat,loss_of_balance,loss_of_smell,"['hoarseness', 'ear_pain', 'facial_pain', 'dry_cough', 'snoring', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,ear_itching,fever,hearing_loss,facial_pain,fever,fatigue,ear_tugging,loss_of_smell,"['ear_itching', 'fever', 'hearing_loss', 'facial_pain', 'fever', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,ringing_in_ears,buzzing_in_ears,fever,swollen_lymph_nodes,nasal_congestion,vomiting,itchy_throat,loss_of_smell,"['ringing_in_ears', 'buzzing_in_ears', 'fever', 'swollen_lymph_nodes', 'nasal_congestion', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,ear_itching,crusting_in_nose,headache,swollen_lymph_nodes,fever,white_patches_throat,ear_tugging,loss_of_smell,"['ear_itching', 'crusting_in_nose', 'headache', 'swollen_lymph_nodes', 'fever', 'white_patches_throat', 'ear_tugging', 'loss_of_smell']"
Allergic Rhinitis,hoarseness,fever,facial_pain,disturbed_sleep,red_tonsils,fatigue,postnasal_drip,loss_of_smell,"['hoarseness', 'fever', 'facial_pain', 'disturbed_sleep', 'red_tonsils', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,ear_pain,ear_pain,nasal_irritation,disturbed_sleep,irritability,breathing_difficulty,postnasal_drip,loss_of_smell,"['ear_pain', 'ear_pain', 'nasal_irritation', 'disturbed_sleep', 'irritability', 'breathing_difficulty', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,vertigo,headache,swelling_ear_canal,dry_cough,red_tonsils,breathing_difficulty,itchy_throat,loss_of_smell,"['vertigo', 'headache', 'swelling_ear_canal', 'dry_cough', 'red_tonsils', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Epistaxis,ear_pain,crusting_in_nose,sore_throat,facial_pain,irritability,white_patches_throat,loss_of_balance,loss_of_smell,"['ear_pain', 'crusting_in_nose', 'sore_throat', 'facial_pain', 'irritability', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,sore_throat,crusting_in_nose,fever,thick_nasal_discharge,nasal_congestion,vomiting,postnasal_drip,loss_of_smell,"['sore_throat', 'crusting_in_nose', 'fever', 'thick_nasal_discharge', 'nasal_congestion', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,sore_throat,difficulty_swallowing,sore_throat,blood_in_nasal_discharge,red_tonsils,vomiting,itchy_throat,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'sore_throat', 'blood_in_nasal_discharge', 'red_tonsils', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Sinusitis,hoarseness,headache,headache,ear_fullness,hearing_difficulty,redness_ear_canal,loss_of_balance,loss_of_smell,"['hoarseness', 'headache', 'headache', 'ear_fullness', 'hearing_difficulty', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Laryngitis,sore_throat,recurrent_sinus_infections,hearing_loss,thick_nasal_discharge,fever,fatigue,ear_tugging,loss_of_smell,"['sore_throat', 'recurrent_sinus_infections', 'hearing_loss', 'thick_nasal_discharge', 'fever', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Allergic Rhinitis,sore_throat,runny_nose,fever,pus_discharge,snoring,postnasal_drip,loss_of_balance,loss_of_smell,"['sore_throat', 'runny_nose', 'fever', 'pus_discharge', 'snoring', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Allergic Rhinitis,ear_pain,ear_pain,nasal_irritation,disturbed_sleep,irritability,breathing_difficulty,postnasal_drip,loss_of_smell,"['ear_pain', 'ear_pain', 'nasal_irritation', 'disturbed_sleep', 'irritability', 'breathing_difficulty', 'postnasal_drip', 'loss_of_smell']"
Laryngitis,ringing_in_ears,headache,sore_throat,facial_pain,throat_irritation,fatigue,headache,loss_of_smell,"['ringing_in_ears', 'headache', 'sore_throat', 'facial_pain', 'throat_irritation', 'fatigue', 'headache', 'loss_of_smell']"
Allergic Rhinitis,nasal_obstruction,tinnitus,swelling_ear_canal,fluid_discharge,snoring,vomiting,headache,loss_of_smell,"['nasal_obstruction', 'tinnitus', 'swelling_ear_canal', 'fluid_discharge', 'snoring', 'vomiting', 'headache', 'loss_of_smell']"
Meniere’s Disease,nasal_congestion,difficulty_swallowing,sore_throat,blood_in_nasal_discharge,nausea,postnasal_drip,loss_of_balance,loss_of_smell,"['nasal_congestion', 'difficulty_swallowing', 'sore_throat', 'blood_in_nasal_discharge', 'nausea', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,sore_throat,fever,nasal_irritation,swollen_lymph_nodes,nasal_congestion,vomiting,ear_tugging,loss_of_smell,"['sore_throat', 'fever', 'nasal_irritation', 'swollen_lymph_nodes', 'nasal_congestion', 'vomiting', 'ear_tugging', 'loss_of_smell']"
Otitis Media,nosebleeds,ear_pain,hearing_loss,swollen_lymph_nodes,irritability,redness_ear_canal,loss_of_balance,loss_of_smell,"['nosebleeds', 'ear_pain', 'hearing_loss', 'swollen_lymph_nodes', 'irritability', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,sneezing,loss_of_voice,nasal_irritation,watery_eyes,red_tonsils,white_patches_throat,itchy_throat,loss_of_smell,"['sneezing', 'loss_of_voice', 'nasal_irritation', 'watery_eyes', 'red_tonsils', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Otitis Media,ear_pain,tinnitus,sore_throat,blood_in_nasal_discharge,throat_irritation,white_patches_throat,postnasal_drip,loss_of_smell,"['ear_pain', 'tinnitus', 'sore_throat', 'blood_in_nasal_discharge', 'throat_irritation', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Otitis Externa,ringing_in_ears,crusting_in_nose,itchy_nose,watery_eyes,red_tonsils,redness_ear_canal,itchy_throat,loss_of_smell,"['ringing_in_ears', 'crusting_in_nose', 'itchy_nose', 'watery_eyes', 'red_tonsils', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Laryngitis,sore_throat,buzzing_in_ears,facial_pain,disturbed_sleep,irritability,redness_ear_canal,ear_tugging,loss_of_smell,"['sore_throat', 'buzzing_in_ears', 'facial_pain', 'disturbed_sleep', 'irritability', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,sore_throat,difficulty_swallowing,sore_throat,blood_in_nasal_discharge,red_tonsils,vomiting,itchy_throat,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'sore_throat', 'blood_in_nasal_discharge', 'red_tonsils', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,ear_itching,tinnitus,hearing_difficulty,swollen_lymph_nodes,red_tonsils,fatigue,ear_tugging,loss_of_smell,"['ear_itching', 'tinnitus', 'hearing_difficulty', 'swollen_lymph_nodes', 'red_tonsils', 'fatigue', 'ear_tugging', 'loss_of_smell']"
Epistaxis,hoarseness,crusting_in_nose,headache,pus_discharge,nausea,postnasal_drip,loss_of_balance,loss_of_smell,"['hoarseness', 'crusting_in_nose', 'headache', 'pus_discharge', 'nausea', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,nasal_obstruction,tinnitus,fever,facial_pain,throat_irritation,loss_of_balance,postnasal_drip,loss_of_smell,"['nasal_obstruction', 'tinnitus', 'fever', 'facial_pain', 'throat_irritation', 'loss_of_balance', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,vertigo,headache,hearing_difficulty,ear_fullness,red_tonsils,fatigue,headache,loss_of_smell,"['vertigo', 'headache', 'hearing_difficulty', 'ear_fullness', 'red_tonsils', 'fatigue', 'headache', 'loss_of_smell']"
Allergic Rhinitis,ringing_in_ears,tinnitus,itchy_nose,swollen_lymph_nodes,fever,fatigue,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'itchy_nose', 'swollen_lymph_nodes', 'fever', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,nasal_obstruction,crusting_in_nose,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,loss_of_balance,loss_of_smell,"['nasal_obstruction', 'crusting_in_nose', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Meniere’s Disease,sneezing,difficulty_swallowing,sore_throat,facial_pain,nausea,postnasal_drip,itchy_throat,loss_of_smell,"['sneezing', 'difficulty_swallowing', 'sore_throat', 'facial_pain', 'nausea', 'postnasal_drip', 'itchy_throat', 'loss_of_smell']"
Epistaxis,sneezing,tinnitus,sore_throat,facial_pain,irritability,vomiting,itchy_throat,loss_of_smell,"['sneezing', 'tinnitus', 'sore_throat', 'facial_pain', 'irritability', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Meniere’s Disease,nasal_congestion,recurrent_sinus_infections,itchy_nose,blood_in_nasal_discharge,throat_irritation,fatigue,headache,loss_of_smell,"['nasal_congestion', 'recurrent_sinus_infections', 'itchy_nose', 'blood_in_nasal_discharge', 'throat_irritation', 'fatigue', 'headache', 'loss_of_smell']"
Otitis Externa,ringing_in_ears,buzzing_in_ears,nasal_irritation,blood_in_nasal_discharge,snoring,loss_of_balance,headache,loss_of_smell,"['ringing_in_ears', 'buzzing_in_ears', 'nasal_irritation', 'blood_in_nasal_discharge', 'snoring', 'loss_of_balance', 'headache', 'loss_of_smell']"
Tonsillitis,sore_throat,recurrent_sinus_infections,fever,dry_cough,nasal_congestion,loss_of_balance,loss_of_balance,loss_of_smell,"['sore_throat', 'recurrent_sinus_infections', 'fever', 'dry_cough', 'nasal_congestion', 'loss_of_balance', 'loss_of_balance', 'loss_of_smell']"
Epistaxis,ear_itching,loss_of_voice,hearing_difficulty,dry_cough,red_tonsils,postnasal_drip,itchy_throat,loss_of_smell,"['ear_itching', 'loss_of_voice', 'hearing_difficulty', 'dry_cough', 'red_tonsils', 'postnasal_drip', 'itchy_throat', 'loss_of_smell']"
Sinusitis,ear_itching,crusting_in_nose,fever,ear_fullness,fever,postnasal_drip,headache,loss_of_smell,"['ear_itching', 'crusting_in_nose', 'fever', 'ear_fullness', 'fever', 'postnasal_drip', 'headache', 'loss_of_smell']"
Epistaxis,ringing_in_ears,tinnitus,hearing_difficulty,blood_in_nasal_discharge,fever,breathing_difficulty,itchy_throat,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'hearing_difficulty', 'blood_in_nasal_discharge', 'fever', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Tinnitus,nosebleeds,buzzing_in_ears,sore_throat,thick_nasal_discharge,throat_irritation,breathing_difficulty,ear_tugging,loss_of_smell,"['nosebleeds', 'buzzing_in_ears', 'sore_throat', 'thick_nasal_discharge', 'throat_irritation', 'breathing_difficulty', 'ear_tugging', 'loss_of_smell']"
Epistaxis,nosebleeds,difficulty_swallowing,facial_pain,watery_eyes,nasal_congestion,loss_of_balance,ear_tugging,loss_of_smell,"['nosebleeds', 'difficulty_swallowing', 'facial_pain', 'watery_eyes', 'nasal_congestion', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Sinusitis,sneezing,tinnitus,swelling_ear_canal,dry_cough,fever,postnasal_drip,loss_of_balance,loss_of_smell,"['sneezing', 'tinnitus', 'swelling_ear_canal', 'dry_cough', 'fever', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,nasal_congestion,loss_of_voice,swelling_ear_canal,facial_pain,irritability,vomiting,itchy_throat,loss_of_smell,"['nasal_congestion', 'loss_of_voice', 'swelling_ear_canal', 'facial_pain', 'irritability', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Tonsillitis,nosebleeds,ear_pain,itchy_nose,dry_cough,irritability,fatigue,loss_of_balance,loss_of_smell,"['nosebleeds', 'ear_pain', 'itchy_nose', 'dry_cough', 'irritability', 'fatigue', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,ear_pain,loss_of_voice,fever,pus_discharge,throat_irritation,redness_ear_canal,loss_of_balance,loss_of_smell,"['ear_pain', 'loss_of_voice', 'fever', 'pus_discharge', 'throat_irritation', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,sneezing,ear_pain,swelling_ear_canal,blood_in_nasal_discharge,irritability,breathing_difficulty,ear_tugging,loss_of_smell,"['sneezing', 'ear_pain', 'swelling_ear_canal', 'blood_in_nasal_discharge', 'irritability', 'breathing_difficulty', 'ear_tugging', 'loss_of_smell']"
Otitis Media,ear_pain,headache,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,loss_of_balance,loss_of_smell,"['ear_pain', 'headache', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,hoarseness,runny_nose,swelling_ear_canal,watery_eyes,red_tonsils,loss_of_balance,itchy_throat,loss_of_smell,"['hoarseness', 'runny_nose', 'swelling_ear_canal', 'watery_eyes', 'red_tonsils', 'loss_of_balance', 'itchy_throat', 'loss_of_smell']"
Epistaxis,sneezing,difficulty_swallowing,headache,blood_in_nasal_discharge,throat_irritation,white_patches_throat,headache,loss_of_smell,"['sneezing', 'difficulty_swallowing', 'headache', 'blood_in_nasal_discharge', 'throat_irritation', 'white_patches_throat', 'headache', 'loss_of_smell']"
Otitis Media,nosebleeds,tinnitus,swelling_ear_canal,pus_discharge,hearing_difficulty,postnasal_drip,postnasal_drip,loss_of_smell,"['nosebleeds', 'tinnitus', 'swelling_ear_canal', 'pus_discharge', 'hearing_difficulty', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
